Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"Vera Institute of Justice
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Quality Data Analyst,$37K-$66K (Glassdoor est.),"Visiting Nurse Service of New York
3.8","New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),"Squarespace
3.4","New York, NY",1001 to 5000 employees,Company - Private,Internet,Information Technology
Data Analyst,$37K-$66K (Glassdoor est.),"Celerity
4.1","New York, NY",201 to 500 employees,Subsidiary or Business Segment,IT Services,Information Technology
Reporting Data Analyst,$37K-$66K (Glassdoor est.),"FanDuel
3.9","New York, NY",501 to 1000 employees,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation"
Data Analyst,$37K-$66K (Glassdoor est.),"Point72
3.9","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),"Two Sigma
4.4","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Data Science Analyst,$37K-$66K (Glassdoor est.),"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance
Data Analyst,$37K-$66K (Glassdoor est.),"DMGT
4.0","New York, NY",5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,Finance
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),"Riskified
4.4","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,$37K-$66K (Glassdoor est.),BulbHead,"Fairfield, NJ",1 to 50 employees,Company - Private,-1,-1
DATA ANALYST,$37K-$66K (Glassdoor est.),"Montefiore Medical
3.7","New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Senior Data Analyst,$37K-$66K (Glassdoor est.),"Known
3.0","New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),"Advisor Group
3.4","Jersey City, NJ",1001 to 5000 employees,Company - Private,Brokerage Services,Finance
Sustainability Data Analyst,$37K-$66K (Glassdoor est.),"CodeGreen Solutions
3.6","New York, NY",1 to 50 employees,Company - Private,Building & Personnel Services,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"Undertone
3.8","New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
Clinical Data Analyst,$37K-$66K (Glassdoor est.),"NYSTEC
3.8","New York, NY",51 to 200 employees,Nonprofit Organization,Consulting,Business Services
DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),"Education Development Center, Inc.
3.9","New York, NY",501 to 1000 employees,Nonprofit Organization,Research & Development,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"Teachers Pay Teachers
4.9","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),"Google
4.4","New York, NY",10000+ employees,Company - Public,Internet,Information Technology
Data Science Analyst,$37K-$66K (Glassdoor est.),MUSIC & Entertainment,"New York, NY",Unknown,Company - Public,-1,-1
Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),"Macquarie Group
3.3","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst,$37K-$66K (Glassdoor est.),"Andiamo
3.5","New York, NY",201 to 500 employees,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services"
Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),"Dash Technologies Inc
3.8","New York, NY",1 to 50 employees,Unknown,-1,-1
Data Analyst,$37K-$66K (Glassdoor est.),"Hearst Communications
4.0","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),"Duolingo
5.0","New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
"Data Analyst, Product",$37K-$66K (Glassdoor est.),"Ro
4.8","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Data Analyst Entry Level,$37K-$66K (Glassdoor est.),"Endai
3.7","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"BlueLabs
4.7","New York, NY",1 to 50 employees,Company - Private,Research & Development,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"Revel
3.6","Brooklyn, NY",51 to 200 employees,Company - Private,Consulting,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"NALLAS CORPORATION
3.6","Jersey City, NJ",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst,$46K-$87K (Glassdoor est.),"Pozent
3.5","New York, NY",1 to 50 employees,Contract,-1,-1
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),"SoFi
3.2","New York, NY",1001 to 5000 employees,Company - Private,Lending,Finance
Data Analyst (Games),$46K-$87K (Glassdoor est.),Carry1st,"New York, NY",-1,-1,-1,-1
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),"Bank of America
3.7","New York, NY",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Data Business Analyst,$46K-$87K (Glassdoor est.),Clear Street,"New York, NY",51 to 200 employees,Company - Public,-1,-1
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),"Nutech Information Systems
3.6","New York, NY",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,$46K-$87K (Glassdoor est.),"The Trevor Project
4.6","New York, NY",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),Pinto,"New York, NY",1 to 50 employees,Company - Private,-1,-1
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),AB InBev,"New York, NY",1001 to 5000 employees,Company - Public,-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),"Whip Media Group
5.0","New York, NY",51 to 200 employees,Company - Private,-1,-1
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),"Two95 International Inc.
4.0","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"Vettery
3.0","New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
Data Analyst,$46K-$87K (Glassdoor est.),"Nesco Resource, LLC
2.9","New York, NY",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Advertising Data Analyst,$46K-$87K (Glassdoor est.),"Hearst Communications
4.0","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"MediaMath
3.6","New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services
Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),"Jordan & Jordan
4.9","New York, NY",1 to 50 employees,Company - Private,Brokerage Services,Finance
"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),"Roku
3.9","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),"Walt Disney Co.
4.0","New York, NY",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),"Citadel
3.8","New York, NY",1001 to 5000 employees,Company - Private,-1,-1
Business Data Analyst,$46K-$87K (Glassdoor est.),"Xoriant Corporation
3.7","Jersey City, NJ",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Senior Data Analyst,$46K-$87K (Glassdoor est.),"Gemini
3.6","New York, NY",51 to 200 employees,Company - Private,Brokerage Services,Finance
Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),"TSR, Inc.
3.6","Weehawken, NJ",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services
Data Reporting Analyst,$46K-$87K (Glassdoor est.),NADAP NYS INC.,"New York, NY",-1,-1,-1,-1
"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),"Walt Disney Co.
4.0","New York, NY",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
Data Analyst II,$46K-$87K (Glassdoor est.),"Fragomen Worldwide
3.2","New York, NY",1001 to 5000 employees,Company - Private,Legal,Accounting & Legal
"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),"Bloomberg
3.8","New York, NY",10000+ employees,Company - Private,Computer Hardware & Software,Information Technology
Data Analyst,$46K-$87K (Glassdoor est.),"Real Capital Analytics
3.9","New York, NY",51 to 200 employees,Company - Private,Real Estate,Real Estate
"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),"Ro
4.8","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),"Perficient
3.6","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),"Perficient
3.6","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Data Analyst - Stitching,$51K-$88K (Glassdoor est.),"Perficient
3.6","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Junior Data Analyst,$51K-$88K (Glassdoor est.),"Kforce
4.1","New York, NY",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),"Criteo
3.9","New York, NY",1001 to 5000 employees,Company - Public,Internet,Information Technology
Data Analyst,$51K-$88K (Glassdoor est.),"Royal Communications
3.0","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
Portfolio Data Analyst,$51K-$88K (Glassdoor est.),"Neuberger Berman
3.7","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Data Science Analyst,$51K-$88K (Glassdoor est.),Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1
Data/Reporting Analyst,$51K-$88K (Glassdoor est.),"Diverse Lynx
3.9","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst 2,$51K-$88K (Glassdoor est.),"eTeam Inc.
3.7","New York, NY",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Entry Level Data Analyst,$51K-$88K (Glassdoor est.),impakt Advisors,"New York, NY",1 to 50 employees,Company - Private,Consulting,Business Services
Marketing Data Analyst,$51K-$88K (Glassdoor est.),"Current
3.6","New York, NY",201 to 500 employees,Company - Public,-1,-1
Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),"Citi
3.7","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Business Data Analyst,$51K-$88K (Glassdoor est.),"Axelon Services Corporation
3.6","New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),"United Nations
4.1","New York, NY",10000+ employees,Government,Federal Agencies,Government
Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),"Discovery Communications, Inc.
3.5","New York, NY",10000+ employees,Company - Public,TV Broadcast & Cable Networks,Media
Data Analyst,$51K-$88K (Glassdoor est.),"Randstad
3.7","Jersey City, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$51K-$88K (Glassdoor est.),"Mulberry Technology
5.0","New York, NY",1 to 50 employees,Company - Private,-1,-1
Data analyst with Python,$51K-$88K (Glassdoor est.),"Two95 International Inc.
4.0","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$51K-$88K (Glassdoor est.),"SoftStandard Solutions
4.8","New York, NY",51 to 200 employees,Company - Private,-1,-1
Data Analyst,$51K-$88K (Glassdoor est.),"EDO, Inc.
5.0","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),"Guidepoint
3.3","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services
BA/Data Analyst,$51K-$88K (Glassdoor est.),"Mitchell Martin
4.1","New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst Python,$51K-$88K (Glassdoor est.),"Lorven Technologies Inc
4.0","New York, NY",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),Fintech Recruiters,"New York, NY",Unknown,Company - Private,-1,-1
Data Analyst-BA,$51K-$88K (Glassdoor est.),"Sphinix Network Solutions Inc.
1.0","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),"Praescient Analytics
3.1","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
Quantitative Data Analyst,$51K-$88K (Glassdoor est.),"Global Atlantic Financial Group
4.5","New York, NY",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance
Data Analyst,$51K-$88K (Glassdoor est.),"FINRA
3.4","New York, NY",1001 to 5000 employees,Nonprofit Organization,Brokerage Services,Finance
Data Analyst,$51K-$87K (Glassdoor est.),NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1
"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),"Jefferies
3.6","New York, NY",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst,$51K-$87K (Glassdoor est.),"RGP
4.1","New York, NY",1001 to 5000 employees,Company - Public,Consulting,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),"Tachyon Technologies
4.4","New York, NY",201 to 500 employees,Company - Private,IT Services,Information Technology
Data Analyst,$51K-$87K (Glassdoor est.),"Apex Systems
3.8","Jersey City, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),"Hagerty Consulting
3.2","New York, NY",1 to 50 employees,Company - Private,Consulting,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),Gainful Health,"New York, NY",1 to 50 employees,Company - Private,Food & Beverage Stores,Retail
Business Data Analyst,$51K-$87K (Glassdoor est.),"Cortex consultants LLC
3.8","New York, NY",501 to 1000 employees,Company - Private,Consulting,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),"Medly Pharmacy
4.7","Brooklyn, NY",201 to 500 employees,Unknown,Health Care Services & Hospitals,Health Care
Healthcare Data Analyst,$51K-$87K (Glassdoor est.),"Fair Health
2.3","New York, NY",1 to 50 employees,Nonprofit Organization,-1,-1
Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),"Peloton Interactive
3.8","New York, NY",1001 to 5000 employees,Company - Public,"Health, Beauty, & Fitness",Consumer Services
Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),"ektello
4.6","New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Analyst-Data Integrity,$51K-$87K (Glassdoor est.),"Premier, Inc.
3.0","New York, NY",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),"JPMorgan Chase
3.9","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst,$51K-$87K (Glassdoor est.),"Fund for Public Health
3.0","Long Island City, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data & Service Health Analyst,$51K-$87K (Glassdoor est.),"BlueVoyant
4.2","New York, NY",51 to 200 employees,Company - Private,-1,-1
Data/Systems Analyst,$51K-$87K (Glassdoor est.),"Crossfire Consulting Corporation
5.0","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),"Reliable Software Resources
4.0","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$51K-$87K (Glassdoor est.),Hyde Leadership Brooklyn,"Brooklyn, NY",51 to 200 employees,School / School District,-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1
Data Analyst Intern,$51K-$87K (Glassdoor est.),"My Job Tank
3.6","Jersey City, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),"Cowen
3.7","New York, NY",501 to 1000 employees,Company - Public,Investment Banking & Asset Management,Finance
Data Reporting Analyst,$51K-$87K (Glassdoor est.),"Robert Half
3.5","New York, NY",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),"FJA-US Inc.
2.8","New York, NY",51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Data Analyst,$51K-$87K (Glassdoor est.),"Averity
5.0","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$51K-$87K (Glassdoor est.),"Capgemini
3.8","Jersey City, NJ",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
ERP Data Analyst,$51K-$87K (Glassdoor est.),"Wildlife Conservation Society
3.4","New York, NY",1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data Analyst,$51K-$87K (Glassdoor est.),"Asembia
3.6","Florham Park, NJ",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),Vesta Healthcare,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
PBM Data Analyst,$51K-$87K (Glassdoor est.),"1199SEIU Funds
3.2","New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance
Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),"Nutrafol
3.8","New York, NY",51 to 200 employees,Other Organization,"Health, Beauty, & Fitness",Consumer Services
Data Analyst,$59K-$85K (Glassdoor est.),"New York Life Insurance Co
3.5","New York, NY",10000+ employees,Company - Private,Insurance Agencies & Brokerages,Insurance
Market Data Analyst,$59K-$85K (Glassdoor est.),"EDP World, Inc.
3.5","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$59K-$85K (Glassdoor est.),"Phyton Talent Advisors
4.1","Jersey City, NJ",1 to 50 employees,Company - Private,-1,-1
Junior Data Analyst,$59K-$85K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),"IBM
3.7","New York, NY",10000+ employees,Company - Public,IT Services,Information Technology
Practice Analyst Data,$59K-$85K (Glassdoor est.),"Northwell Health
4.0","Manhasset, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),"Huxley
3.3","New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),"Vericred
2.9","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),"Scotiabank
3.6","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),"Child Mind Institute
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),"Balance Innovations
3.1","New York, NY",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),"Asset Staffing
3.4","Newark, NJ",201 to 500 employees,Contract,Staffing & Outsourcing,Business Services
Data Analyst with Rochade,$59K-$85K (Glassdoor est.),"Reliable Software Resources
4.0","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
Advertising Data Analyst,$59K-$85K (Glassdoor est.),"Hearst Television, Inc
4.3","New York, NY",51 to 200 employees,Company - Private,TV Broadcast & Cable Networks,Media
Product Analyst - Data,$59K-$85K (Glassdoor est.),"William Hill US
2.7","Jersey City, NJ",10000+ employees,Company - Public,Gambling,"Arts, Entertainment & Recreation"
Senior Data Analyst,$59K-$85K (Glassdoor est.),"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
Data Analyst,$59K-$85K (Glassdoor est.),"ZDAAS
4.4","Brooklyn, NY",1 to 50 employees,Company - Private,-1,-1
Market Research Data Analyst - Physician Technology,$59K-$85K (Glassdoor est.),"Decision Resources Group
3.1","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,IT Services,Information Technology
Data Analyst,$59K-$85K (Glassdoor est.),"Highbridge Consulting LLC
3.0","New York, NY",1 to 50 employees,Company - Private,-1,-1
Look ML Data Analyst,$59K-$85K (Glassdoor est.),"NTT DATA, Inc.
2.9","New York, NY",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
Data Collection Analyst,$59K-$85K (Glassdoor est.),"Columbia University
3.9","New York, NY",10000+ employees,College / University,Colleges & Universities,Education
Data Analyst,$59K-$85K (Glassdoor est.),"Precision technologies corp
4.2","New York, NY",201 to 500 employees,Company - Private,IT Services,Information Technology
DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),"Cactus Holdings
3.9","Queens Village, NY",1001 to 5000 employees,Company - Private,Research & Development,Business Services
Student Persistence Initiative Data Analyst/Scientist,$59K-$85K (Glassdoor est.),"Cuny Research Foundation
4.2","New York, NY",10000+ employees,Nonprofit Organization,Colleges & Universities,Education
Data Quality Analyst,$59K-$85K (Glassdoor est.),SGA Inc.,"New York, NY",1 to 50 employees,Company - Private,Architectural & Engineering Services,Business Services
Data Governance Analyst,$59K-$85K (Glassdoor est.),"Crossfire Consulting Corporation
5.0","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
Sr. Business Intelligence Engineer / Data Analyst,$59K-$85K (Glassdoor est.),"Amazon
3.9","New York, NY",10000+ employees,Company - Public,Internet,Information Technology
Data Analyst,$59K-$85K (Glassdoor est.),"Voice
3.4","Brooklyn, NY",Unknown,Company - Private,-1,-1
Data Analyst,$59K-$85K (Glassdoor est.),"NTT DATA, Inc.
2.9","New York, NY",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
Data Analyst,$43K-$76K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),"HOMETEAM
3.6","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Data Analyst I - Geriatrics and Palliative Care,$43K-$76K (Glassdoor est.),"Mount Sinai Health System
3.4","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,$43K-$76K (Glassdoor est.),Monkey Algorithms LLC,"New York, NY",-1,-1,-1,-1
Data Analyst/Rochade,$43K-$76K (Glassdoor est.),"Halcyon Solutions, Inc.
3.3","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
"Data Analyst, Revenue Analytics",$43K-$76K (Glassdoor est.),"Roman
3.2","New York, NY",201 to 500 employees,Company - Private,-1,-1
Data Analyst,$43K-$76K (Glassdoor est.),"COUNCIL ON ACCREDITATION
3.8","New York, NY",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
Data Analyst,$43K-$76K (Glassdoor est.),APR Staffing,"New York, NY",-1,-1,-1,-1
"Data Analyst II, Division of Gastroenterology (Research)",$43K-$76K (Glassdoor est.),"Mount Sinai Health System
3.4","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
"Data Analyst, Student Success Program",$43K-$76K (Glassdoor est.),"Child Mind Institute
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Big Data QA Analyst with Jupyter notebook,$43K-$76K (Glassdoor est.),"COOLSOFT
3.2","Newark, NJ",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
"Analyst, Data Centers Industry",$43K-$76K (Glassdoor est.),"451 Research
3.3","New York, NY",201 to 500 employees,Company - Private,Research & Development,Business Services
Data Analyst,$43K-$76K (Glassdoor est.),Stark HR Consulting LLC,"New York, NY",-1,-1,-1,-1
Financial - Data Analyst,$43K-$76K (Glassdoor est.),"Amenity Analytics
3.8","New York, NY",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst with Data Scanning and Profiling,$43K-$76K (Glassdoor est.),"Halcyon Solutions, Inc.
3.3","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
Business Analyst - Data Governance,$43K-$76K (Glassdoor est.),"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
Senior Data Analyst - Health Economist,$43K-$76K (Glassdoor est.),"Vericred
2.9","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
Lead Data Insights Analyst,$43K-$76K (Glassdoor est.),TapRm,"Brooklyn, NY",Unknown,Unknown,-1,-1
Research Analyst (Data Science),$43K-$76K (Glassdoor est.),"APCO Worldwide
3.4","New York, NY",501 to 1000 employees,Company - Private,Consulting,Business Services
Data Management Analyst,$43K-$76K (Glassdoor est.),"Brooklyn Community Services
2.5","Brooklyn, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Business Analyst / Data Analyst,$43K-$76K (Glassdoor est.),"Softcom Systems
4.4","Weehawken, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),"Diverse Lynx
3.9","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
Clinical Data Analyst,$43K-$76K (Glassdoor est.),"Fair Health
2.3","New York, NY",1 to 50 employees,Nonprofit Organization,-1,-1
Sr. Data Profiling Analyst,$43K-$76K (Glassdoor est.),"UBS
3.6","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$43K-$76K (Glassdoor est.),"Cowen Group, Inc.","New York, NY",1 to 50 employees,Unknown,-1,-1
Data Analyst,$43K-$76K (Glassdoor est.),"Workforce Logiq
3.6","Haworth, NJ",501 to 1000 employees,Company - Private,Consulting,Business Services
Data Analyst,$43K-$76K (Glassdoor est.),"Cross River Bank
3.3","Fort Lee, NJ",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance
"Sr. Data Analyst, Revenue Analytics, Peacock",$43K-$76K (Glassdoor est.),"NBCUniversal
3.8","New York, NY",10000+ employees,Company - Public,TV Broadcast & Cable Networks,Media
Senior Data Analyst,$43K-$76K (Glassdoor est.),"Narrativ
3.7","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
Data Analyst,$43K-$76K (Glassdoor est.),CompuForce,"New York, NY",Unknown,Company - Private,-1,-1
Senior Data Analyst - Data Cataloging / Data Profiling,$43K-$76K (Glassdoor est.),"Perficient
3.6","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
